ENTREGA|TRANSP_INTER|ENT_SAL_MERC|TOT_DIST_REC|DISTANCIA_REC|RFC_REMITENTE|NOMB_REMITENTE|RFC_DESTINATAR|NOMB_DESTINATAR|NUMB_REGID_TRIB|RESID_FISCAL|CALLE_ORIGEN|ESTADO_ORIGEN|PAIS_ORIGEN|CP_ORIGEN|CALLE_DESTINO|COLONIA_DESTINO|ESTADO_DESTINO|PAIS_DESTINO|CP_DESTINO|NUM_TOTAL_MERC|MATERIAL|BIENES_TRANSP|DESCRIPCION|CANTIDAD|CLAVE_UNIDAD|UNIDAD|MATERIAL_PELIGROSO|PESO_KG|FRACC_ARANC|CANT_TOT_ENTREGA|UUID|NOMBREASEG|NUMPOLIZASEG|SAMMG|TKNUM|RUTA_TRANSPORTE|RUTA_ENTREGA|TRANSPORTISTA|TIPO_UNIDAD|ADUANA
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000200|50465525|CHILES JALAPEÑOS ENT CAJA 6/2.8 KG|112.000|XBX|CA|NO|1881.600|2001909901|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000211|50171707|VINAGRE DE ALCOHOL DE CAÑA CAJA 4/3700|96.000|XBX|CA|NO|1420.800|2209000100|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000286|50171800|PURE DE TOMATE EN BOLSA CJ 4/3 KG NVA|104.000|XBX|CA|NO|1248.000||2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000288|50171800|SALSA P/PIZZA EN BOLSA CJ 4/3 KG NVA.|52.000|XBX|CA|NO|624.000|2103200299|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000331|50365300|DURAZNO EN MITADES CAJA 12/820 G.|220.000|XBX|CA|NO|2164.800|2008700100|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000402|50465525|RAJAS DE JALAPEÑO CAJA 24/380 G.|224.000|XBX|CA|NO|2042.880|2001909901|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000442|50461800|FRIJOLES NEGROS REF CAJA 12/580 G|169.000|XBX|CA|NO|1176.240|2005510100|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000500|50465525|CHILES JALAPEÑOS ENT CAJA 48/220 G|180.000|XBX|CA|NO|1900.800|2001909901|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000502|50465525|RAJAS DE JALAPEÑO CAJA 48/220 G|270.000|XBX|CA|NO|2851.200|2001909901|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
0080656156|NO||408.000|408.000|CCO820507BV4|CONSERVAS LA COSTEÑA S.A.|CCO820507BV4|ACAPULCO TIKAL REPRESENTACIONES||MX|VÍA MORELOS|MEX|MX|55400|BLVD. JOSE LOPEZ PORTILLO 902|LEONARDO RODRIGUEZ ALCAINE|GRO|MX|39715|15|000000000000000561|50171800|PURE DE TOMATE COND CAJA 24/210 G|216.000|XBX|CA|NO|1088.640|2002909900|2137.000||GRUPO NACIONAL PROVINCIAL, SAB|483059739|0000400924|0000082163|E00002 ECATEPEC - ACAPULCO|E00002 ECATEPEC - ACAPULCO|0005000069 MARIA NELY FUENTES AYALA|Z8 Terc Caja Sec 48P|
